,S_incomepc
1187,506.66666
1188,1242.5
1189,1027.7777
1190,1160.8889
1191,800.0
1192,1454.7222
1193,0.0
1194,666.6666
1195,1182.7777
1196,804.1667
1197,594.0
1198,900.0
1199,2000.0
1200,533.3333
1201,458.6
1202,560.0
1203,127266.664
1204,850.0
1205,1111.1111
1206,712.6666
1207,1052.0834
1208,816.6667
1209,360.0
1210,1816.6667
1211,1430.5555
1212,1016.6667
1213,1055.5555
1214,720.8333
1215,2400.6863
1216,1441.6666
1217,802.8334
1218,1988.5714
1219,0.0
1220,1746.6667
1221,2566.6667
1222,1406.25
1223,0.0
1224,741.6667
1225,800.0
1226,1600.0
1227,1000.0
1228,4.1666665
1229,2133.3333
1230,633.3333
1231,700.0
1232,1041.6666
1233,0.0
1234,510.41666
1235,476.3889
1236,371.1111
1237,1624.5834
1238,1300.0
1239,1034.4
1240,1790.0
1241,1051.5654
1242,1700.0
1243,520.0
1244,2400.0
1245,1000.0
1246,808.3333
1247,400.0
1248,608.0
1249,250.0
1250,400.0
1251,1429.1667
1252,1627.7778
1253,1400.0
1254,580.0
1255,600.0
1256,757.1428
1257,708.0
1258,1100.0
1259,1104.0
1260,434.2857
1261,810.6667
1262,443.05554
1263,488.33334
1264,865.0
1265,3027.7778
1266,0.0
1267,490.41666
1268,612.5
1269,2172.8572
1270,800.0
1271,760.0
1272,1928.5715
1273,1520.0
1274,766.6667
1275,1200.0
1276,893.1112
1277,700.0
1278,1535.5555
1279,1216.6667
1280,0.0
1281,1920.0
1282,58.285713
1283,600.0
1284,466.66666
1285,304.0
1286,981.6667
1287,855.3571
1288,297.61905
1289,20.0
1290,0.0
1291,1150.0
1292,342.85715
1293,325.0
1294,864.0
1295,560.0
1296,70.0
1297,640.0
1298,618.75
1299,1245.8334
1300,1769.4445
1301,1166.6666
1302,285.7143
1303,1063.3334
1304,1705.0
1305,425.6
1306,400.0
1307,1360.0
1308,2140.0
1309,680.2778
1310,0.0
1311,733.3333
1312,935.8333
1313,533.3333
1314,0.0
1315,1645.9524
1316,0.0
1317,761.6666
1318,416.66666
1319,1320.0
1320,1241.6666
1321,1450.0
1322,0.0
1323,1000.0
1324,1096.7858
1325,666.6667
1326,850.0
1327,600.0
1328,800.0
1329,1443.3333
1330,640.0
1331,360.0
1332,0.0
1333,1328.0
1334,688.0
1335,2544.5
1336,762.5
1337,700.0
1338,803.3334
1339,400.0
1340,746.875
1341,428.57144
1342,625.0
1343,333.33334
1344,1233.3333
1345,4306.6665
1346,1520.0
1347,1085.7142
1348,937.5
1349,620.0
1350,1774.0
1351,653.3333
1352,561.11115
1353,0.0
1354,1105.0
1355,810.4167
1356,561.11115
1357,1162.0
1358,766.6667
1359,517.3334
1360,1084.5714
1361,600.0
1362,0.0
1363,768.75
1364,500.0
1365,942.0
1366,600.0
1367,529.3333
1368,900.0
1369,525.0
1370,703.3333
1371,500.0
1372,480.0
1373,1434.25
1374,1241.6666
1375,800.0
1376,1498.5833
1377,1793.3334
1378,812.2222
1379,493.33334
1380,434.2857
1381,2975.0
1382,465.625
1383,0.0
1384,776.6666
1385,1867.0
1386,933.3333
1387,0.0
1388,400.0
1389,949.7143
1390,608.0
1391,821.7778
1392,1104.1666
